split,image_name,image_path,mask_path,has_mask,is_valid_pair,height,width,mask_height,mask_width,num_unique_labels,labels_present,ignore_ratio,dominant_label,dominant_label_name,brightness_mean,brightness_std,dark_ratio,bright_ratio,saturation_mean,edge_strength,r_mean,g_mean,b_mean
train,6bc3cef7-14c3b0b7.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/6bc3cef7-14c3b0b7.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/6bc3cef7-14c3b0b7_train_id.png,True,True,720,1280,720,1280,6,"0,5,8,9,13,255",0.6973784722222223,0,road,0.018015682697296143,0.038076188415288925,0.9955392795138889,0.00028862847222222224,0.012394142337143421,0.0011124052107334137,0.021847262978553772,0.01748056150972843,0.010403787717223167
val,ab94bc5b-9ddc86e4.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/val/ab94bc5b-9ddc86e4.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/val/ab94bc5b-9ddc86e4_train_id.png,True,True,720,1280,720,1280,4,"0,10,13,255",0.06471896701388889,10,sky,0.9781175255775452,0.03892732784152031,0.0,0.9966547309027778,0.05170273408293724,0.0009405365562997758,0.9460997581481934,0.9943580031394958,0.998181164264679
train,6f995cc3-c7d16d56.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/6f995cc3-c7d16d56.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/6f995cc3-c7d16d56_train_id.png,True,True,720,1280,720,1280,4,"0,2,8,255",0.3440657552083333,0,road,0.021242374554276466,0.0390927791595459,0.9900466579861111,0.0001953125,0.01724807545542717,0.0013490000274032354,0.02609306201338768,0.020852545276284218,0.010221240110695362
train,2f2b0a0c-918f0000.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/2f2b0a0c-918f0000.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/2f2b0a0c-918f0000_train_id.png,True,True,720,1280,720,1280,9,"0,2,4,5,6,9,10,13,255",0.5397591145833334,10,sky,0.03993629291653633,0.039239946752786636,0.9942762586805556,0.00017903645833333332,0.04934171959757805,0.0029551207553595304,0.05666491016745567,0.037418432533741,0.008023600094020367
train,780469a2-55dd835f.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/780469a2-55dd835f.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/780469a2-55dd835f_train_id.png,True,True,720,1280,720,1280,5,"0,1,3,5,255",0.6928971354166666,0,road,0.029878612607717514,0.043975066393613815,0.99380859375,8.680555555555556e-05,0.017079444602131844,0.0009838195983320475,0.036211345344781876,0.02836725488305092,0.020396091043949127
train,357506e4-3a64f522.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/357506e4-3a64f522.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/357506e4-3a64f522_train_id.png,True,True,720,1280,720,1280,4,"0,1,5,255",0.44384657118055554,0,road,0.024419739842414856,0.04805023968219757,0.9940700954861111,0.0006412760416666666,0.017982181161642075,0.0010191481560468674,0.03171921148896217,0.022461706772446632,0.014940405264496803
train,bb793416-9423221d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/bb793416-9423221d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/bb793416-9423221d_train_id.png,True,True,720,1280,720,1280,4,"0,7,8,255",0.5438172743055556,0,road,0.032536961138248444,0.049698542803525925,0.9772482638888889,0.0,0.025058526545763016,0.001278331270441413,0.04224253073334694,0.030287478119134903,0.018098032101988792
train,2a37a9f8-d26c1997.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/2a37a9f8-d26c1997.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/2a37a9f8-d26c1997_train_id.png,True,True,720,1280,720,1280,4,"0,5,8,255",0.5994368489583334,0,road,0.04356435313820839,0.05054982006549835,0.9915169270833334,0.0008192274305555556,0.018084537237882614,0.0014907554723322392,0.04717620089650154,0.04413602128624916,0.029950547963380814
train,c1978334-ee0b01df.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/c1978334-ee0b01df.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/c1978334-ee0b01df_train_id.png,True,True,720,1280,720,1280,5,"0,2,3,10,255",0.21073350694444445,3,wall,0.04423253983259201,0.052727632224559784,0.9870041232638889,0.0005349392361111111,0.023193880915641785,0.0017499171663075686,0.05102311447262764,0.0431654192507267,0.03083370253443718
train,c3ee5975-02ea08d9.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/c3ee5975-02ea08d9.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/c3ee5975-02ea08d9_train_id.png,True,True,720,1280,720,1280,7,"0,1,2,3,8,13,255",0.15492621527777778,0,road,0.047278232872486115,0.05337648093700409,0.9940874565972222,0.0005403645833333333,0.03336320444941521,0.0015567184891551733,0.05680764839053154,0.0448562353849411,0.03347846493124962
