split,image_name,image_path,mask_path,has_mask,is_valid_pair,height,width,mask_height,mask_width,num_unique_labels,labels_present,ignore_ratio,dominant_label,dominant_label_name,brightness_mean,brightness_std,dark_ratio,bright_ratio,saturation_mean,edge_strength,r_mean,g_mean,b_mean
val,ab94bc5b-9ddc86e4.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/val/ab94bc5b-9ddc86e4.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/val/ab94bc5b-9ddc86e4_train_id.png,True,True,720,1280,720,1280,4,"0,10,13,255",0.06471896701388889,10,sky,0.9781175255775452,0.03892732784152031,0.0,0.9966547309027778,0.05170273408293724,0.0009405365562997758,0.9460997581481934,0.9943580031394958,0.998181164264679
train,780469a2-55dd835f.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/780469a2-55dd835f.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/780469a2-55dd835f_train_id.png,True,True,720,1280,720,1280,5,"0,1,3,5,255",0.6928971354166666,0,road,0.029878612607717514,0.043975066393613815,0.99380859375,8.680555555555556e-05,0.017079444602131844,0.0009838195983320475,0.036211345344781876,0.02836725488305092,0.020396091043949127
train,357506e4-3a64f522.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/357506e4-3a64f522.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/357506e4-3a64f522_train_id.png,True,True,720,1280,720,1280,4,"0,1,5,255",0.44384657118055554,0,road,0.024419739842414856,0.04805023968219757,0.9940700954861111,0.0006412760416666666,0.017982181161642075,0.0010191481560468674,0.03171921148896217,0.022461706772446632,0.014940405264496803
train,6bc3cef7-14c3b0b7.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/6bc3cef7-14c3b0b7.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/6bc3cef7-14c3b0b7_train_id.png,True,True,720,1280,720,1280,6,"0,5,8,9,13,255",0.6973784722222223,0,road,0.018015682697296143,0.038076188415288925,0.9955392795138889,0.00028862847222222224,0.012394142337143421,0.0011124052107334137,0.021847262978553772,0.01748056150972843,0.010403787717223167
train,bb793416-9423221d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/bb793416-9423221d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/bb793416-9423221d_train_id.png,True,True,720,1280,720,1280,4,"0,7,8,255",0.5438172743055556,0,road,0.032536961138248444,0.049698542803525925,0.9772482638888889,0.0,0.025058526545763016,0.001278331270441413,0.04224253073334694,0.030287478119134903,0.018098032101988792
train,6f995cc3-c7d16d56.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/6f995cc3-c7d16d56.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/6f995cc3-c7d16d56_train_id.png,True,True,720,1280,720,1280,4,"0,2,8,255",0.3440657552083333,0,road,0.021242374554276466,0.0390927791595459,0.9900466579861111,0.0001953125,0.01724807545542717,0.0013490000274032354,0.02609306201338768,0.020852545276284218,0.010221240110695362
train,a310e8f3-65a5066d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/a310e8f3-65a5066d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/a310e8f3-65a5066d_train_id.png,True,True,720,1280,720,1280,3,"3,13,255",0.6137923177083333,13,car,0.042547084391117096,0.06747572124004364,0.9824815538194445,0.0016145833333333333,0.014416199177503586,0.0013627009466290474,0.045414820313453674,0.04219823703169823,0.03586749732494354
train,41de76bc-9cec11f0.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/41de76bc-9cec11f0.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/41de76bc-9cec11f0_train_id.png,True,True,720,1280,720,1280,6,"0,1,5,9,13,255",0.6894292534722222,0,road,0.04394596070051193,0.05453033000230789,0.9859548611111111,0.00016167534722222223,0.018916595727205276,0.001483399886637926,0.048955921083688736,0.04331018775701523,0.03294172137975693
train,2a37a9f8-d26c1997.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/2a37a9f8-d26c1997.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/2a37a9f8-d26c1997_train_id.png,True,True,720,1280,720,1280,4,"0,5,8,255",0.5994368489583334,0,road,0.04356435313820839,0.05054982006549835,0.9915169270833334,0.0008192274305555556,0.018084537237882614,0.0014907554723322392,0.04717620089650154,0.04413602128624916,0.029950547963380814
train,c3ee5975-02ea08d9.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/c3ee5975-02ea08d9.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/c3ee5975-02ea08d9_train_id.png,True,True,720,1280,720,1280,7,"0,1,2,3,8,13,255",0.15492621527777778,0,road,0.047278232872486115,0.05337648093700409,0.9940874565972222,0.0005403645833333333,0.03336320444941521,0.0015567184891551733,0.05680764839053154,0.0448562353849411,0.03347846493124962
